pos	tpm	group	gsmid	cell
11336420	0.6	CNTL	GSM3323580	aN
11336440	0.6	CNTL	GSM3323580	aN
11336460	0.7	CNTL	GSM3323580	aN
11336480	0.6	CNTL	GSM3323580	aN
11336500	0.6	CNTL	GSM3323580	aN
11336520	0.1	CNTL	GSM3323580	aN
11336540	0.4	CNTL	GSM3323580	aN
11336560	0.6	CNTL	GSM3323580	aN
11336580	0.7	CNTL	GSM3323580	aN
11336600	0.6	CNTL	GSM3323580	aN
11336620	0.6	CNTL	GSM3323580	aN
11336640	0.2	CNTL	GSM3323580	aN
11337560	0.4	CNTL	GSM3323580	aN
11337580	0.6	CNTL	GSM3323580	aN
11337600	0.6	CNTL	GSM3323580	aN
11337720	0.2	CNTL	GSM3323580	aN
11337740	0.6	CNTL	GSM3323580	aN
11337760	0.6	CNTL	GSM3323580	aN
11337780	0.1	CNTL	GSM3323580	aN
11337800	0.5	CNTL	GSM3323580	aN
11337820	1.2	CNTL	GSM3323580	aN
11337840	2.3	CNTL	GSM3323580	aN
11337860	2.3	CNTL	GSM3323580	aN
11337880	1.1	CNTL	GSM3323580	aN
11337900	0.9	CNTL	GSM3323580	aN
11337920	1.2	CNTL	GSM3323580	aN
11337940	1.8	CNTL	GSM3323580	aN
11337960	1.2	CNTL	GSM3323580	aN
11337980	1.5	CNTL	GSM3323580	aN
11338000	1.8	CNTL	GSM3323580	aN
11338020	2.7	CNTL	GSM3323580	aN
11338040	3.7	CNTL	GSM3323580	aN
11338060	2.9	CNTL	GSM3323580	aN
11338080	0.8	CNTL	GSM3323580	aN
11338100	0.2	CNTL	GSM3323580	aN
11338120	0.6	CNTL	GSM3323580	aN
11338140	0.7	CNTL	GSM3323580	aN
11338160	0.7	CNTL	GSM3323580	aN
11338180	0.6	CNTL	GSM3323580	aN
11338200	0.3	CNTL	GSM3323580	aN
11338260	0.6	CNTL	GSM3323580	aN
11338280	0.6	CNTL	GSM3323580	aN
11338300	0.4	CNTL	GSM3323580	aN
11339080	0.4	CNTL	GSM3323580	aN
11339100	0.6	CNTL	GSM3323580	aN
11339120	0.5	CNTL	GSM3323580	aN
11339200	0.4	CNTL	GSM3323580	aN
11339220	0.6	CNTL	GSM3323580	aN
11339240	0.6	CNTL	GSM3323580	aN
11339340	0.6	CNTL	GSM3323580	aN
11339360	0.6	CNTL	GSM3323580	aN
11339380	0.4	CNTL	GSM3323580	aN
11339540	0.2	CNTL	GSM3323580	aN
11339560	0.6	CNTL	GSM3323580	aN
11339580	0.5	CNTL	GSM3323580	aN
11340500	0.6	CNTL	GSM3323580	aN
11340520	0.6	CNTL	GSM3323580	aN
11340540	0.2	CNTL	GSM3323580	aN
11340560	0.1	CNTL	GSM3323580	aN
11340580	0.6	CNTL	GSM3323580	aN
11340600	0.6	CNTL	GSM3323580	aN
11340620	0.4	CNTL	GSM3323580	aN
11340640	1.2	CNTL	GSM3323580	aN
11340660	2.5	CNTL	GSM3323580	aN
11340680	2.5	CNTL	GSM3323580	aN
11340700	2.1	CNTL	GSM3323580	aN
11340720	1.4	CNTL	GSM3323580	aN
11340740	1.3	CNTL	GSM3323580	aN
11340760	0.7	CNTL	GSM3323580	aN
11340780	0.1	CNTL	GSM3323580	aN
11340880	0.4	CNTL	GSM3323580	aN
11340900	0.6	CNTL	GSM3323580	aN
11340920	0.6	CNTL	GSM3323580	aN
11341080	0.9	CNTL	GSM3323580	aN
11341100	1.2	CNTL	GSM3323580	aN
11341120	0.7	CNTL	GSM3323580	aN
11341140	0.6	CNTL	GSM3323580	aN
11341160	0.6	CNTL	GSM3323580	aN
11341180	0.2	CNTL	GSM3323580	aN
11341220	0.2	CNTL	GSM3323580	aN
11341240	1.2	CNTL	GSM3323580	aN
11341260	1.2	CNTL	GSM3323580	aN
11341280	0.5	CNTL	GSM3323580	aN
11341340	0.5	CNTL	GSM3323580	aN
11341360	0.6	CNTL	GSM3323580	aN
11341380	0.3	CNTL	GSM3323580	aN
11341400	0.5	CNTL	GSM3323580	aN
11341420	0.6	CNTL	GSM3323580	aN
11341440	0.6	CNTL	GSM3323580	aN
11341460	1	CNTL	GSM3323580	aN
11341480	1.2	CNTL	GSM3323580	aN
11341500	1.4	CNTL	GSM3323580	aN
11341520	1.2	CNTL	GSM3323580	aN
11341540	1.1	CNTL	GSM3323580	aN
11341560	0.6	CNTL	GSM3323580	aN
11341580	0.6	CNTL	GSM3323580	aN
11341600	0.1	CNTL	GSM3323580	aN
11341720	0.5	CNTL	GSM3323580	aN
11341740	0.6	CNTL	GSM3323580	aN
11341760	0.5	CNTL	GSM3323580	aN
11341780	1.2	CNTL	GSM3323580	aN
11341800	1.2	CNTL	GSM3323580	aN
11341820	0.5	CNTL	GSM3323580	aN
11341920	0.5	CNTL	GSM3323580	aN
11341940	1.2	CNTL	GSM3323580	aN
11341960	1.2	CNTL	GSM3323580	aN
11341980	0.2	CNTL	GSM3323580	aN
11342540	0.1	CNTL	GSM3323580	aN
11342560	0.6	CNTL	GSM3323580	aN
11342580	0.6	CNTL	GSM3323580	aN
11342600	0.3	CNTL	GSM3323580	aN
11342680	0.9	CNTL	GSM3323580	aN
11342700	1.2	CNTL	GSM3323580	aN
11342720	1.2	CNTL	GSM3323580	aN
11342740	1.6	CNTL	GSM3323580	aN
11342760	1.8	CNTL	GSM3323580	aN
11342780	0.9	CNTL	GSM3323580	aN
11342820	0.7	CNTL	GSM3323580	aN
11342840	1.2	CNTL	GSM3323580	aN
11342860	0.9	CNTL	GSM3323580	aN
11336380	0.3	CNTL	GSM3323581	DN
11336400	0.7	CNTL	GSM3323581	DN
11336420	0.7	CNTL	GSM3323581	DN
11336440	0.1	CNTL	GSM3323581	DN
11336520	0.3	CNTL	GSM3323581	DN
11336540	0.9	CNTL	GSM3323581	DN
11336560	1.4	CNTL	GSM3323581	DN
11336580	0.8	CNTL	GSM3323581	DN
11336680	0.5	CNTL	GSM3323581	DN
11336700	0.7	CNTL	GSM3323581	DN
11336720	0.7	CNTL	GSM3323581	DN
11337760	1.1	CNTL	GSM3323581	DN
11337780	1.4	CNTL	GSM3323581	DN
11337800	1.2	CNTL	GSM3323581	DN
11337820	0.4	CNTL	GSM3323581	DN
11337840	0.7	CNTL	GSM3323581	DN
11337860	0.6	CNTL	GSM3323581	DN
11337940	1	CNTL	GSM3323581	DN
11337960	2.1	CNTL	GSM3323581	DN
11337980	2.1	CNTL	GSM3323581	DN
11338000	0.3	CNTL	GSM3323581	DN
11338800	0.7	CNTL	GSM3323581	DN
11338820	0.7	CNTL	GSM3323581	DN
11338840	0.5	CNTL	GSM3323581	DN
11338860	0.2	CNTL	GSM3323581	DN
11338880	0.7	CNTL	GSM3323581	DN
11338900	0.6	CNTL	GSM3323581	DN
11339400	0.7	CNTL	GSM3323581	DN
11339420	0.9	CNTL	GSM3323581	DN
11339440	1.1	CNTL	GSM3323581	DN
11339460	0.7	CNTL	GSM3323581	DN
11339480	0.2	CNTL	GSM3323581	DN
11340440	0.7	CNTL	GSM3323581	DN
11340460	0.7	CNTL	GSM3323581	DN
11340480	0.5	CNTL	GSM3323581	DN
11340520	0.5	CNTL	GSM3323581	DN
11340540	0.7	CNTL	GSM3323581	DN
11340560	0.3	CNTL	GSM3323581	DN
11340760	1.2	CNTL	GSM3323581	DN
11340780	1.4	CNTL	GSM3323581	DN
11340800	1.1	CNTL	GSM3323581	DN
11340880	1.9	CNTL	GSM3323581	DN
11340900	2.1	CNTL	GSM3323581	DN
11340920	1.5	CNTL	GSM3323581	DN
11341200	0.1	CNTL	GSM3323581	DN
11341220	0.7	CNTL	GSM3323581	DN
11341240	0.7	CNTL	GSM3323581	DN
11341260	0.4	CNTL	GSM3323581	DN
11342240	0.5	CNTL	GSM3323581	DN
11342260	1.4	CNTL	GSM3323581	DN
11342280	1.4	CNTL	GSM3323581	DN
11342300	0.2	CNTL	GSM3323581	DN
11342500	0.7	CNTL	GSM3323581	DN
11342520	0.7	CNTL	GSM3323581	DN
11342540	0.5	CNTL	GSM3323581	DN
11342640	0.6	CNTL	GSM3323581	DN
11342660	0.7	CNTL	GSM3323581	DN
11342680	0.5	CNTL	GSM3323581	DN
11343120	1.6	CNTL	GSM3323581	DN
11343140	2.1	CNTL	GSM3323581	DN
11343160	1.9	CNTL	GSM3323581	DN
11343200	0.5	CNTL	GSM3323581	DN
11336480	0.4	CNTL	GSM3323584	SM
11336500	1.1	CNTL	GSM3323584	SM
11336520	1.1	CNTL	GSM3323584	SM
11336540	0.3	CNTL	GSM3323584	SM
11336580	0.3	CNTL	GSM3323584	SM
11336600	1.1	CNTL	GSM3323584	SM
11336620	1.1	CNTL	GSM3323584	SM
11336640	0.4	CNTL	GSM3323584	SM
11336960	0.5	CNTL	GSM3323584	SM
11336980	1.1	CNTL	GSM3323584	SM
11337000	1.5	CNTL	GSM3323584	SM
11337020	1.3	CNTL	GSM3323584	SM
11337040	1	CNTL	GSM3323584	SM
11337620	1.9	CNTL	GSM3323584	SM
11337640	2.2	CNTL	GSM3323584	SM
11337660	1.6	CNTL	GSM3323584	SM
11337760	1.6	CNTL	GSM3323584	SM
11337780	2.2	CNTL	GSM3323584	SM
11337800	1.5	CNTL	GSM3323584	SM
11340380	0.5	CNTL	GSM3323584	SM
11340400	1.1	CNTL	GSM3323584	SM
11340420	1.1	CNTL	GSM3323584	SM
11340440	0.2	CNTL	GSM3323584	SM
11340500	0.9	CNTL	GSM3323584	SM
11340520	1.1	CNTL	GSM3323584	SM
11340540	0.9	CNTL	GSM3323584	SM
11340960	0.7	CNTL	GSM3323584	SM
11340980	3.3	CNTL	GSM3323584	SM
11341000	3.3	CNTL	GSM3323584	SM
11341020	1.3	CNTL	GSM3323584	SM
11341040	1.5	CNTL	GSM3323584	SM
11341060	3.3	CNTL	GSM3323584	SM
11341080	3.5	CNTL	GSM3323584	SM
11341100	1.1	CNTL	GSM3323584	SM
11341120	1.1	CNTL	GSM3323584	SM
11341140	0.8	CNTL	GSM3323584	SM
11341160	1.1	CNTL	GSM3323584	SM
11341180	1	CNTL	GSM3323584	SM
11336220	0.5	CNTL	GSM3323585	T3
11336240	0.7	CNTL	GSM3323585	T3
11336260	0.6	CNTL	GSM3323585	T3
11336540	0.6	CNTL	GSM3323585	T3
11336560	0.7	CNTL	GSM3323585	T3
11336580	0.5	CNTL	GSM3323585	T3
11337780	0.4	CNTL	GSM3323585	T3
11337800	1.1	CNTL	GSM3323585	T3
11337820	2.6	CNTL	GSM3323585	T3
11337840	2.1	CNTL	GSM3323585	T3
11337860	1.1	CNTL	GSM3323585	T3
11337940	1.7	CNTL	GSM3323585	T3
11337960	2.9	CNTL	GSM3323585	T3
11337980	2.7	CNTL	GSM3323585	T3
11338000	0.2	CNTL	GSM3323585	T3
11338560	0.1	CNTL	GSM3323585	T3
11338580	0.7	CNTL	GSM3323585	T3
11338600	0.7	CNTL	GSM3323585	T3
11338620	0.3	CNTL	GSM3323585	T3
11338660	0.3	CNTL	GSM3323585	T3
11338680	0.7	CNTL	GSM3323585	T3
